DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract
93600.0,56959.0,74.0,108.3,108.1,5.8,,168.3,,,1954768.9,565153.5,754.0,0.0,754.0,97642.0,,,169.1,40.841398,-73.94049,12.0,10.0,251.0
136608.0,117368.0,84.0,108.6,111.9,6.9,0.3,164.1,5448026.1,54480.3,4148446.0,1195236.2,1367.8,982.8,385.0,174348.0,10175.0,58.36,161.7,40.84334,-73.942903,12.0,10.0,255.0
807327.0,138403.0,78.0,105.8,109.3,8.2,0.2,170.8,6498553.0,64985.5,7552185.4,2200919.5,2113.7,1412.9,700.8,268861.0,,,167.6,40.84401,-73.942671,12.0,10.0,255.0
1651267.0,285890.0,78.0,124.5,,6.7,,,23052893.3,,11208692.6,3238312.8,4172.5,3132.4,1040.2,481715.0,,,177.2,40.844457,-73.942518,12.0,10.0,255.0
84442.0,52850.0,81.0,85.6,89.8,9.8,0.0,161.7,49786.0,523.1,2898517.5,825719.4,589.9,320.9,269.0,84508.0,1753.4,20.75,159.6,40.845958,-73.942539,12.0,10.0,255.0
,66687.0,84.0,53.8,58.9,7.0,0.4,111.7,1996358.1,23357.4,1590366.2,466109.6,253.6,106.0,147.6,66687.0,3048.6,45.71,106.3,,,,,
62200.0,30840.0,6.0,147.9,150.0,28.0,,365.6,,,5910266.3,1687597.8,747.8,0.0,747.8,60274.0,,,367.8,40.765726,-73.958994,8.0,5.0,118.0
518647.0,454925.0,100.0,5.4,5.5,1.0,0.0,12.8,939000.0,9541.6,1536764.8,450399.9,192.5,49.9,142.6,454925.0,,,12.8,40.727153,-73.997124,2.0,1.0,5501.0
307312.0,298336.0,100.0,8.1,8.2,2.0,0.0,22.6,422989.9,4405.8,1997060.6,585304.9,207.8,22.5,185.3,298336.0,11291.1,37.85,22.5,40.728092,-73.995663,2.0,1.0,5501.0
1485916.0,306659.0,100.0,16.1,16.2,4.2,0.0,47.0,550200.0,5626.8,4399125.7,1289309.8,437.5,29.2,408.2,306659.0,,,46.9,40.729113,-73.997507,2.0,1.0,5501.0
